"Plot","Real.rich","litter2012","ave.biomass","LAI","mean.N.change","poll_total","flwr_total","Mass.loss.2month","Damage_effect","bugs","bug.rich"
"X80",1,21.29,46.86333333,2.52,0.304,198,452.625,2.824,0,2,2
"X81",1,13.64,82.46666667,5.38,0.049,185,54750.875,4.206,0,51,12
"X82",1,4.78,18.17666667,1.99,0.0345,0,0,3.865,0,6,3
"X83",1,28.38,63.91333333,4,0.089,29,13374.83333,3.664,0,37,9
"X84",3,86.89,58.23666667,4.31,0.1375,22,72834.83333,3.476,-0.030550904,16,6
"X85",1,3.96,49.54666667,6.39,0.127,40,1124.571429,4.381,0,29,7
"X86",1,19.76,13.34,0.91,0.1105,0,0,3.717,0,9,8
"X87",1,2.98,22.31666667,1.08,0.087,133,488.2857143,3.144,0,11,6
"X88",4,32.24,53.84666667,1.74,0.1395,42,18256,4.006,-0.226417859,8,6
"X89",1,0,2.906666667,0.4,0.077,106,1538.454545,3.007,0,0,0
"X90",1,1.17,20.78,2.37,0.067,0,0,3.346,0,10,6
"X91",2,19.25,60.47333333,5.38,0.083,254,36133.11111,4.043,0.033552637,40,7
"X92",1,32.36,17.93666667,1.43,0.0555,0,0,3.349,0,7,3
"X93",2,9.32,17.29666667,2.04,0.055,0,0,3.286,-0.270015696,3,3
"X94",1,7.56,84.13666667,4.76,0.0735,28,26516.66667,3.221,0,66,11
"X97",2,5.38,53.97333333,3.97,0.075,45,48358.33333,3.628,-0.106149985,14,8
"X98",2,16.59,85.27,4.22,0.1305,51,12529.66667,4.062,0.110565377,11,7
"X99",1,1.14,27.16,1.49,0.1145,120,290.9,3.024,0,9,3
"X100",4,13.74,95.97,4.99,0.099,23,11108.16667,4.305,-0.115229575,7,4
